job_title,years_experience,education_level,skills,country,city,industry,company_size,employment_type,work_mode,certifications,annual_salary_usd
Blockchain Developer,9,Associate's Degree,SQL;Go,Netherlands,Amsterdam,E-commerce & Retail,Small (51–200),Contract,Remote,PMP (Project Management),140500
QA Engineer,10,Master's Degree,Git;Redis;SQL;REST APIs;CI/CD;Python,Australia,Melbourne,Manufacturing,Enterprise (5000+),Full-time,On-site,Google Cloud Professional;CKA (Kubernetes),143000
Cybersecurity Analyst,5,High School / GED,GCP;Python,Canada,Toronto,Startups,Large (1001–5000),Full-time,Hybrid,PMP (Project Management),83700
Frontend Developer,21,Master's Degree,Redis;Git;TypeScript;JavaScript;GraphQL,United Kingdom,Edinburgh,Telecommunications,Medium (201–1000),Full-time,Hybrid,Azure Solutions Architect,206800
Blockchain Developer,4,Master's Degree,Rust;Python,United States,Chicago,Automotive,Startup (1–50),Full-time,On-site,None,132200
Security Engineer,4,PhD / Doctorate,React;Python;Docker;Kafka;CI/CD;AWS;REST APIs,India,Hyderabad,Consulting,Small (51–200),Full-time,Remote,None,37400
Senior Data Analyst,7,Master's Degree,Deep Learning;PostgreSQL;React;Python;SQL;REST APIs;Kafka;Machine Learning,Canada,Toronto,Education & Research,Large (1001–5000),Full-time,Hybrid,Azure Solutions Architect;CISSP (Security),108300
Systems Architect,1,Bachelor's Degree,GCP;Kubernetes;MongoDB;AWS;PyTorch;Azure;Docker;Linux,UAE,Abu Dhabi,Automotive,Enterprise (5000+),Full-time,On-site,PMP (Project Management),142200
Data Scientist,2,Associate's Degree,Redis;React;TypeScript;Apache Spark;Python;TensorFlow;SQL;PyTorch;Machine Learning,Germany,Berlin,Aerospace & Defense,Enterprise (5000+),Contract,On-site,CKA (Kubernetes),140100
Frontend Developer,2,Associate's Degree,Git;GraphQL;TypeScript,United States,Atlanta,E-commerce & Retail,Enterprise (5000+),Full-time,On-site,AWS Certified Solutions Architect,88500
Product Manager,19,Bachelor's Degree,Git,Singapore,Singapore City,E-commerce & Retail,Large (1001–5000),Contract,On-site,CKA (Kubernetes),251400
Network Engineer,6,High School / GED,Python;Azure,India,Chennai,Finance & Banking,Startup (1–50),Full-time,Hybrid,Data Science Professional (IBM),14200
AI/ML Researcher,3,Bachelor's Degree,Azure;Machine Learning;Linux;TensorFlow,UAE,Abu Dhabi,Aerospace & Defense,Enterprise (5000+),Full-time,Remote,None,195200
Software Engineer,2,Bootcamp Graduate,Linux;Git;REST APIs;CI/CD;Java;Docker,United States,Denver,Consulting,Large (1001–5000),Part-time,Remote,AWS Certified Solutions Architect,75000
Technical Lead,3,Bachelor's Degree,CI/CD;Git;C++;Docker,United States,Atlanta,Finance & Banking,Small (51–200),Full-time,On-site,None,151000
UX/UI Designer,3,Bachelor's Degree,Kubernetes,United States,Chicago,E-commerce & Retail,Medium (201–1000),Full-time,Remote,Salesforce Certified,114800
Data Scientist,5,Bachelor's Degree,PyTorch;Apache Spark;Machine Learning;Python;React;Deep Learning;SQL;TensorFlow,Germany,Munich,Startups,Medium (201–1000),Freelance,On-site,None,113100
Backend Developer,11,Associate's Degree,Redis;Node.js;Docker;GCP;PostgreSQL;Git;SQL,United States,Atlanta,Healthcare & Pharma,Medium (201–1000),Full-time,On-site,AWS Certified Solutions Architect,141100
Backend Developer,7,Bachelor's Degree,Python;PostgreSQL;Node.js;Docker;Java,Canada,Ottawa,Media & Entertainment,Startup (1–50),Full-time,Remote,Google Cloud Professional,79700
Cybersecurity Analyst,2,Bootcamp Graduate,AWS;PyTorch;Java,United States,Chicago,E-commerce & Retail,Small (51–200),Part-time,Hybrid,None,54100
DevOps Engineer,10,Master's Degree,React;CI/CD;Docker;Scala;Machine Learning,Canada,Vancouver,Consulting,Small (51–200),Contract,On-site,AWS Certified Solutions Architect,211500
Technical Lead,5,Associate's Degree,Git;Java;Python;SQL;CI/CD;Kubernetes,Switzerland,Geneva,Telecommunications,Enterprise (5000+),Full-time,Remote,CKA (Kubernetes),205500
Database Administrator,1,Bootcamp Graduate,Redis;MongoDB;Linux;PostgreSQL;SQL,United States,Miami,E-commerce & Retail,Medium (201–1000),Full-time,Hybrid,None,78200
Site Reliability Engineer,4,Master's Degree,AWS;Linux;CI/CD;Kafka;Python,Singapore,Singapore City,Media & Entertainment,Medium (201–1000),Part-time,Hybrid,None,89200
Software Engineer,7,Bachelor's Degree,Docker;Python;REST APIs;Kafka;Java;C++;Git;SQL,United States,Miami,Energy & Utilities,Medium (201–1000),Full-time,Hybrid,PMP (Project Management),197600
Mobile Developer,7,Master's Degree,Scala;React;C++;TypeScript,Netherlands,Rotterdam,Education & Research,Enterprise (5000+),Full-time,Remote,Azure Solutions Architect,124700
AI/ML Researcher,3,High School / GED,Redis;Machine Learning;PyTorch;Java;MongoDB;TensorFlow,United States,New York,Manufacturing,Small (51–200),Contract,Remote,None,158300
Frontend Developer,13,Master's Degree,TypeScript;JavaScript;GCP;Git;React,United States,Atlanta,Manufacturing,Small (51–200),Full-time,On-site,PMP (Project Management),164600
Data Scientist,3,Bachelor's Degree,Python;GraphQL;Deep Learning;SQL;PyTorch;Linux;AWS;Apache Spark;Machine Learning,United Kingdom,Edinburgh,Education & Research,Startup (1–50),Full-time,Hybrid,Salesforce Certified,85800
Security Engineer,7,Bachelor's Degree,SQL;Docker;Apache Spark;Java;Python;CI/CD;Kafka,India,Pune,Insurance,Small (51–200),Contract,On-site,AWS Certified Solutions Architect,40800
DevOps Engineer,4,Bachelor's Degree,Kubernetes;Git;Kafka;Python,Brazil,Rio de Janeiro,Aerospace & Defense,Large (1001–5000),Full-time,On-site,None,42800
Frontend Developer,2,Bachelor's Degree,Git;REST APIs;React;GraphQL;Go,United States,Seattle,E-commerce & Retail,Small (51–200),Full-time,On-site,Google Cloud Professional;CISSP (Security),95200
Data Science Manager,11,Bootcamp Graduate,Machine Learning;SQL;Apache Spark;Python,Canada,Vancouver,Finance & Banking,Enterprise (5000+),Part-time,Remote,CISSP (Security),178400
UX/UI Designer,5,Master's Degree,C++;GraphQL,United States,Los Angeles,Automotive,Large (1001–5000),Full-time,Hybrid,None,126800
Business Analyst,8,Master's Degree,C++;Python;SQL;REST APIs,Germany,Cologne,Consulting,Medium (201–1000),Freelance,On-site,Salesforce Certified,103500
Cloud Architect,8,Master's Degree,Azure;AWS;Machine Learning;Docker;Terraform,United Kingdom,Bristol,Insurance,Medium (201–1000),Full-time,Remote,Salesforce Certified,264100
Software Engineer,5,Associate's Degree,TypeScript;MongoDB;JavaScript;Python;SQL;REST APIs;Rust,United States,Austin,Consulting,Enterprise (5000+),Full-time,Remote,CFA (Finance),204700
QA Engineer,0,Bachelor's Degree,SQL;Git;GCP;CI/CD;React,United States,Denver,Consulting,Enterprise (5000+),Internship,Remote,Google Cloud Professional;AWS Certified Solutions Architect,43000
QA Engineer,6,PhD / Doctorate,CI/CD;Azure;Node.js,India,Pune,Finance & Banking,Startup (1–50),Full-time,Hybrid,Google Cloud Professional;Data Science Professional (IBM),25000
Blockchain Developer,6,Master's Degree,Rust;Python;Java;Go;PostgreSQL;Linux,United States,Miami,Consulting,Startup (1–50),Internship,On-site,CFA (Finance),63700
Project Manager,5,Master's Degree,SQL,India,Chennai,Finance & Banking,Small (51–200),Part-time,Hybrid,Azure Solutions Architect;AWS Certified Solutions Architect,15100
QA Engineer,19,Master's Degree,SQL;Git;CI/CD;REST APIs;Python,United States,Austin,Consulting,Medium (201–1000),Contract,Hybrid,Google Cloud Professional,219400
Backend Developer,3,Master's Degree,PostgreSQL;Node.js;Docker;Redis;Python;Java;SQL;Scala,United States,Seattle,Aerospace & Defense,Medium (201–1000),Full-time,Remote,CompTIA Security+,163200
Database Administrator,12,Bachelor's Degree,PostgreSQL;Linux;Redis;MongoDB,United States,Miami,Energy & Utilities,Startup (1–50),Internship,Remote,Azure Solutions Architect,52500
Mobile Developer,3,Bootcamp Graduate,Java;React;TypeScript;REST APIs;Git;JavaScript,Germany,Frankfurt,Government & Public Sector,Medium (201–1000),Part-time,On-site,CFA (Finance),39200
Security Engineer,6,Master's Degree,CI/CD;AWS;Python;Scala;Linux,France,Paris,Telecommunications,Enterprise (5000+),Full-time,On-site,PMP (Project Management),170600
Engineering Manager,3,Master's Degree,SQL;Go;Deep Learning;CI/CD,United States,Miami,Aerospace & Defense,Small (51–200),Contract,Hybrid,None,238700
UX/UI Designer,4,Master's Degree,MongoDB;Scala;AWS;React;TypeScript;JavaScript,Canada,Ottawa,Manufacturing,Small (51–200),Full-time,On-site,None,71900
Project Manager,7,Bachelor's Degree,Git;GraphQL;Java,India,Hyderabad,Manufacturing,Enterprise (5000+),Full-time,Hybrid,PMP (Project Management),25700
Network Engineer,6,Bachelor's Degree,Scala;Python;Azure;Linux,UAE,Abu Dhabi,Education & Research,Small (51–200),Full-time,On-site,AWS Certified Solutions Architect,69900
Data Analyst,1,Associate's Degree,Python;PostgreSQL;Git;MongoDB,Switzerland,Geneva,Government & Public Sector,Enterprise (5000+),Part-time,Remote,None,34400
Blockchain Developer,4,Master's Degree,Rust;Go;Python,United States,Austin,Insurance,Startup (1–50),Full-time,On-site,None,134700
Full Stack Developer,5,Bachelor's Degree,React;TypeScript;JavaScript;Docker;AWS,Canada,Vancouver,Media & Entertainment,Large (1001–5000),Full-time,On-site,None,103800
Backend Developer,27,Bachelor's Degree,Java;Python;Redis;PostgreSQL;Node.js;Docker,India,Pune,Startups,Medium (201–1000),Part-time,On-site,Salesforce Certified,26100
Technical Lead,7,Bachelor's Degree,Kubernetes;SQL;GraphQL;Python;Java;Docker;CI/CD,United States,Miami,Government & Public Sector,Enterprise (5000+),Full-time,Remote,None,209500
